Cluster,Node,Coordinates
0,MDLR,[-0.73564311  0.11488713]
0,MDLX,[-0.64147538 -0.17523613]
0,MDTX,[-0.62066079 -0.17509061]
0,ME,[-0.77258497  0.21226296]
0,MGA,[-0.73576736  0.11813195]
0,MHWA,[-0.68479391  0.29885575]
0,MIDH,[-0.73237612  0.12003272]
0,MIGN,[-0.7026831   0.03195821]
0,MIRR,[-0.69353074  0.02147703]
0,MMID,[-7.05054810e-01 -2.11438064e-04]
0,MMRR,[-0.65429946 -0.04844585]
0,MNBR,[-0.45266386 -0.23799218]
0,MNCW,[-0.3300319   0.84409296]
0,MNJ,[-0.678122    0.33714286]
0,MNL,[-0.74503919  0.13314131]
0,MPA,[-0.7414233   0.14077143]
0,MQT,[-0.63463855 -0.05555904]
0,MRR,[-0.63067877 -0.16498086]
0,MS,[-0.65107497 -0.0528481 ]
0,MSO,[-0.64902576 -0.06667658]
0,MTR,[-0.74705692  0.16611264]
0,MWCL,[-0.66173199 -0.12218497]
0,NAC,[-0.45184452 -0.29152966]
0,NARZ,[-0.59268112 -0.17515055]
0,NBER,[-0.72993437  0.06184858]
0,NCRA,[-0.70995399 -0.04008027]
0,NCVA,[-0.62779825 -0.15930623]
0,NCYR,[-0.63233015 -0.15130082]
0,NEC,[-0.56947936  0.54477401]
0,NERR,[-0.51502792 -0.22034187]
0,NFD,[-0.66499762 -0.1157494 ]
0,NHIR,[-0.73998959  0.15202949]
0,NHRR,[-0.74918864  0.13658134]
0,NICD,[-0.61858519 -0.09361749]
0,NJII,[-0.67438617  0.01287947]
0,NJTR,[-0.74914151  0.17005257]
0,NOW,[-0.68692052 -0.05160621]
0,NPB,[-0.65746355 -0.10257758]
0,NRTX,[-0.52741303 -0.20395855]
0,NS,[-0.55230803 -0.16360004]
0,NSHR,[-0.73506214  0.07277343]
0,NSR,[-0.6681059  -0.10830988]
0,NSS,[-0.71810555  0.08314594]
0,NW,[-0.57565235 -0.08357334]
0,NWR,[-0.52905325 -0.2038434 ]
0,NYA,[-0.67397072  0.33363304]
0,NYCH,[-0.64603726  0.46030088]
0,NYLB,[-0.79801143  0.2933883 ]
0,NYLE,[-0.66759914  0.39972445]
0,NYOG,[-0.6887061   0.28119184]
0,NYSW,[-0.7174437   0.28345967]
